Company,Product,Inches,Memory,Gpu,OpSys,Price_euros,height,width,Clock,Weight_in_kg
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),14.0,8,Intel UHD Graphics 620,Windows 10,941.0,1080,1920,1.6,1.4
HP,250 G6,15.6,8,Intel HD Graphics 620,Windows 10,690.0,1080,1920,2.5,1.86
Asus,ZenBook Pro,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1983.0,1080,1920,2.8,1.8
HP,250 G6,15.6,4,AMD Radeon 520,Windows 10,438.69,768,1366,2.0,1.86
HP,Stream 14-AX040wm,14.0,4,Intel HD Graphics 400,Windows 10,229.0,768,1366,1.6,1.44
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),15.6,4,Intel HD Graphics 620,Windows 10,549.0,1080,1920,2.5,1.9
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,17.3,12,Nvidia GeForce GTX 1050 Ti,Linux,949.0,1080,1920,2.8,3.0
Microsoft,Surface Laptop,13.5,4,Intel HD Graphics 620,Windows 10 S,1089.0,1504,2256,2.5,1.252
Dell,Inspiron 5370,13.3,8,AMD Radeon 530,Windows 10,955.0,1080,1920,1.8,1.4
Dell,Inspiron 5570,15.6,8,AMD Radeon 530,Windows 10,870.0,1080,1920,1.8,2.2
MSI,GL72M 7RDX,17.3,8,Nvidia GeForce GTX 1050,Windows 10,1095.0,1080,1920,2.5,2.7
Acer,Aspire E5-475,14.0,8,Intel HD Graphics 520,Windows 10,389.0,768,1366,2.0,2.1
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,15.6,8,Nvidia GeForce GTX 1050,Windows 10,949.0,1080,1920,2.8,2.2
Lenovo,IdeaPad 320-15IKBN,15.6,8,Intel HD Graphics 620,No OS,519.0,1080,1920,2.5,2.2
Dell,Inspiron 5570,15.6,8,Intel UHD Graphics 620,Windows 10,855.0,1080,1920,1.8,2.02
Acer,Aspire A515-51G-32MX,15.6,4,Nvidia GeForce MX130,Windows 10,530.0,1080,1920,2.7,2.2
HP,ProBook 470,17.3,8,Nvidia GeForce 930MX,Windows 10,977.0,1080,1920,1.6,2.5
Dell,Latitude 5590,15.6,8,Intel UHD Graphics 620,Windows 10,1096.16,1080,1920,1.6,1.88
Apple,"MacBook 12""",12.0,8,Intel HD Graphics 615,macOS,1510.0,1440,2304,1.3,0.92
HP,ProBook 440,14.0,8,Intel HD Graphics 620,Windows 10,860.0,1080,1920,1.6,1.63
Lenovo,IdeaPad 320-15AST,15.6,4,AMD R4 Graphics,Windows 10,399.0,1080,1920,2.5,2.2
Acer,Aspire 3,15.6,4,AMD Radeon R5,Windows 10,395.0,768,1366,3.0,2.1
Dell,Inspiron 7577,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1349.0,1080,1920,2.8,2.65
HP,Pavilion 15-CK000nv,15.6,8,Nvidia GeForce GTX 940MX,Windows 10,699.0,1080,1920,1.8,1.83
HP,250 G6,15.6,8,Intel HD Graphics 620,Windows 10,598.99,1080,1920,2.5,1.96
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,15.6,16,Nvidia GeForce GTX 1060,Windows 10,1449.0,1080,1920,2.8,2.2
Dell,XPS 13,13.3,8,Intel UHD Graphics 620,Windows 10,1649.0,1080,1920,1.8,1.21
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,15.6,8,AMD Radeon RX 560,Windows 10,699.0,1080,1920,3.0,2.45
Acer,Aspire 5,15.6,8,Nvidia GeForce MX150,Windows 10,689.0,1080,1920,1.8,2.2
HP,Probook 430,13.3,16,Intel UHD Graphics 620,Windows 10,1197.0,1080,1920,1.8,1.49
Dell,Inspiron 7577,15.6,8,Nvidia GeForce GTX 1060,Windows 10,1195.0,1080,1920,2.5,2.65
Asus,Zenbook UX430UA,14.0,8,Intel HD Graphics 620,Windows 10,1049.0,1080,1920,2.7,1.25
Acer,Spin 5,13.3,8,Intel UHD Graphics 620,Windows 10,847.0,1080,1920,1.6,1.5
Dell,Inspiron 3567,15.6,8,AMD Radeon R5 M430,Linux,599.9,1080,1920,2.7,2.2
Dell,Inspiron 3567,15.6,4,AMD Radeon R5 M430,Linux,485.0,1080,1920,2.0,2.2
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,15.6,6,Nvidia GeForce 920M,Windows 10,577.0,1080,1920,2.4,2.0
HP,Omen 15-ce007nv,15.6,12,Nvidia GeForce GTX 1050,Windows 10,1249.0,1080,1920,2.8,2.62
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,15.6,8,AMD Radeon 530,Windows 10,719.0,1080,1920,2.7,1.91
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,15.6,4,AMD Radeon R2,Windows 10,349.0,1080,1920,1.5,2.1
Dell,Inspiron 3576,15.6,8,AMD Radeon 520,Linux,647.0,1080,1920,1.6,2.2
HP,Envy 13-ad009n,13.3,8,Nvidia GeForce MX150,Windows 10,1119.0,1080,1920,2.7,1.38
Microsoft,Surface Laptop,13.5,8,Intel HD Graphics 620,Windows 10 S,1340.0,1504,2256,2.5,1.252
HP,Pavilion 14-BK001nv,14.0,6,Nvidia GeForce 940MX,Windows 10,659.0,1080,1920,2.5,1.58
Lenovo,Ideapad 310-15ISK,15.6,4,Intel HD Graphics 520,Windows 10,414.9,1080,1920,2.0,1.85
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,14.0,8,Nvidia GeForce 940MX,Windows 10,1193.0,1080,1920,2.7,1.3
MSI,GP62M 7REX,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1299.0,1080,1920,2.8,2.2
Lenovo,Thinkpad T470,14.0,8,Intel HD Graphics 620,Windows 10,1480.0,1080,1920,2.7,1.58
Asus,VivoBook S15,15.6,16,Nvidia GeForce MX150,Windows 10,1262.0,1080,1920,1.8,1.5
Dell,XPS 13,13.3,8,Intel Iris Plus Graphics 640,Windows 10,1379.0,1800,3200,2.4,1.23
Lenovo,ThinkPad Yoga,13.3,8,Intel HD Graphics 620,Windows 10,1399.0,1080,1920,2.5,1.37
HP,Probook 440,14.0,4,Intel UHD Graphics 620,Windows 10,722.0,768,1366,1.6,1.63
Dell,XPS 13,13.3,8,Intel UHD Graphics 620,Windows 10,1629.0,1080,1920,1.6,1.21
HP,Spectre x360,13.3,8,Intel UHD Graphics 620,Windows 10,1398.99,1080,1920,1.6,1.26
HP,Probook 440,14.0,8,Intel UHD Graphics 620,Windows 10,1084.0,1080,1920,1.8,1.63
Dell,Inspiron 7570,15.6,8,Nvidia GeForce 940MX,Windows 10,1130.33,1080,1920,1.8,2.16
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,17.3,4,Nvidia GeForce 920MX,Windows 10,564.0,1080,1920,2.0,2.0
Asus,VivoBook S15,15.6,8,Nvidia GeForce 940MX,Windows 10,1118.0,1080,1920,1.8,1.7
Acer,Spin 3,15.6,6,Intel HD Graphics 620,Windows 10,479.0,1080,1920,2.4,2.1
MSI,GS63VR 7RG,15.6,16,Nvidia GeForce GTX 1070,Windows 10,2241.5,1080,1920,2.8,1.8
Lenovo,IdeaPad 320-15IKBN,15.6,8,Nvidia GeForce 940MX,No OS,629.0,1080,1920,2.5,2.2
HP,Probook 470,17.3,16,Nvidia GeForce 930MX ,Windows 10,1271.0,1080,1920,1.8,2.5
Acer,Aspire 3,15.6,4,AMD Radeon R5,Windows 10,451.0,768,1366,3.0,2.1
HP,250 G6,15.6,4,Intel HD Graphics 400,No OS,259.0,768,1366,1.6,1.86
HP,Probook 440,14.0,8,Intel UHD Graphics 620,Windows 10,812.0,1080,1920,1.6,1.63
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,14.0,4,AMD Radeon R2,Windows 10 S,277.99,768,1366,1.5,1.65
Dell,Inspiron 5770,17.3,16,AMD Radeon 530,Windows 10,1396.0,1080,1920,1.8,2.8
HP,ProBook 470,17.3,8,Intel UHD Graphics 620,Windows 10,928.0,1080,1920,1.6,2.5
Dell,Inspiron 5567,15.6,8,AMD Radeon R7 M445,Windows 10,638.99,768,1366,2.5,2.36
Dell,Inspiron 3567,15.6,4,AMD Radeon R5 M430,Windows 10,449.0,1080,1920,2.0,2.2
Acer,Swift 3,14.0,8,Intel UHD Graphics 620,Windows 10,884.0,1080,1920,1.8,1.6
Acer,Aspire A515-51G-37JS,15.6,4,Nvidia GeForce MX130,Windows 10,572.0,1080,1920,2.7,2.2
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),15.6,8,Intel HD Graphics 620,Windows 10,598.0,768,1366,2.7,2.05
HP,Probook 440,14.0,8,Intel UHD Graphics 620,Windows 10,988.0,1080,1920,1.8,1.63
Lenovo,V110-15IAP (N3350/4GB/1TB/No,15.6,4,Intel HD Graphics 500,No OS,252.36,768,1366,1.1,1.9
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,17.3,8,Nvidia GeForce GTX 1050,Windows 10,938.0,1080,1920,2.5,3.0
Lenovo,IdeaPad 320-15IKBN,15.6,4,Nvidia GeForce 920MX,No OS,499.0,1080,1920,2.5,2.2
HP,Envy 13-AD007nv,13.3,4,Intel HD Graphics 620,Windows 10,699.0,1080,1920,2.5,1.32
Acer,Aspire 5,17.3,4,Nvidia GeForce MX130,Windows 10,655.0,1080,1920,2.7,3.0
Lenovo,ThinkPad E480,14.0,8,AMD Radeon RX 550,Windows 10,1116.02,1080,1920,1.6,1.75
Lenovo,Legion Y520-15IKBN,15.6,8,Nvidia GeForce GTX 1050M,No OS,869.0,1080,1920,2.8,2.4
Toshiba,Satellite Pro,15.6,4,Intel HD Graphics 520,Windows 10,602.0,768,1366,2.3,2.1
HP,255 G6,15.6,4,AMD Radeon R4 Graphics,Windows 10,369.0,768,1366,2.5,1.86
Asus,ZenBook UX430UA,14.0,8,Intel UHD Graphics 620,Windows 10,1099.0,1080,1920,1.8,1.25
HP,EliteBook Folio,12.5,8,Intel HD Graphics 515,Windows 10,2014.0,2160,3840,1.2,0.97
Asus,X541NA (N3350/4GB/1TB/FHD/W10),15.6,4,Intel HD Graphics 500,Windows 10,344.0,1080,1920,1.1,2.0
MSI,GE72MVR 7RG,17.3,16,Nvidia GeForce GTX 1070,Windows 10,2029.0,1080,1920,2.8,2.9
Acer,Aspire A315-51,15.6,4,Intel HD Graphics 520,Windows 10,447.0,768,1366,2.0,2.1
Dell,Inspiron 5577,15.6,16,Nvidia GeForce GTX 1050,Windows 10,1249.26,1080,1920,2.8,2.56
Dell,Inspiron 7567,15.6,8,Nvidia GeForce GTX 1050,Windows 10,899.0,1080,1920,2.8,2.62
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),15.6,4,Intel HD Graphics 620,Windows 10,498.0,768,1366,2.5,1.9
MSI,GE73VR 7RE,17.3,16,Nvidia GeForce GTX 1060,Windows 10,1890.0,1080,1920,2.8,2.8
HP,EliteBook 840,14.0,4,Intel HD Graphics 620,Windows 10,1082.0,1080,1920,2.7,1.48
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,15.6,6,AMD Radeon 520,Windows 10,619.0,1080,1920,1.6,1.91
Lenovo,Yoga 520-14IKB,14.0,4,Intel HD Graphics 620,Windows 10,629.0,1080,1920,2.4,1.74
Asus,ZenBook Flip,13.3,8,Intel HD Graphics 620,Windows 10,1315.0,1080,1920,1.6,1.1
Dell,Inspiron 5579,15.6,8,Intel UHD Graphics 620,Windows 10,1049.0,1080,1920,1.8,1.56
Toshiba,Satellite Pro,15.6,4,Intel HD Graphics 520,Windows 10,447.0,768,1366,2.2,2.1
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,15.6,4,AMD Radeon R5 M420,Windows 10,403.0,768,1366,3.0,2.03
Acer,Aspire A517-51G,17.3,4,Nvidia GeForce MX150,Windows 10,805.0,1080,1920,1.6,3.0
Dell,Inspiron 3576,15.6,8,AMD Radeon 520,Windows 10,728.0,1080,1920,1.6,2.13
Lenovo,Legion Y520-15IKBN,15.6,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1079.0,1080,1920,2.8,2.5
Acer,Aspire A315-31,15.6,4,Intel HD Graphics 500,Windows 10,348.0,768,1366,1.1,2.1
MSI,GE63VR 7RE,15.6,16,Nvidia GeForce GTX 1060,Windows 10,1799.0,1080,1920,2.8,2.4
Acer,Aspire 3,15.6,4,Intel HD Graphics 505,Windows 10,363.51,768,1366,1.1,2.1
Dell,Inspiron 5577,15.6,8,Nvidia GeForce GTX 1050,Windows 10,1060.49,1080,1920,2.8,2.56
Acer,Aspire A517-51G,17.3,8,Nvidia GeForce MX150,Windows 10,854.0,1080,1920,1.6,3.0
HP,ProBook 430,13.3,4,Intel UHD Graphics 620,Windows 10,754.0,1080,1920,1.6,1.49
Huawei,MateBook X,13.0,8,Intel HD Graphics 620,Windows 10,1349.0,1440,2160,2.5,1.05
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,17.3,6,AMD Radeon 520,Windows 10,699.0,1080,1920,2.5,2.71
Lenovo,IdeaPad 320-15AST,15.6,4,AMD Radeon R4 Graphics,No OS,309.0,768,1366,2.9,2.2
Toshiba,Satellite Pro,15.6,4,Intel HD Graphics 620,Windows 10,489.0,768,1366,2.4,2.0
HP,ProBook 470,17.3,8,Nvidia GeForce 930MX,Windows 10,923.0,1080,1920,1.6,2.5
Dell,Inspiron 3567,15.6,8,Intel HD Graphics 620,Windows 10,459.0,768,1366,2.4,2.3
Acer,Aspire A315-51,15.6,4,Intel HD Graphics 520,Windows 10,449.0,768,1366,2.0,2.1
MSI,GT80S 6QF-074US,18.4,32,Nvidia GTX 980 SLI,Windows 10,2799.0,1080,1920,2.9,4.4
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,15.6,8,AMD R17M-M1-70,Windows 10,813.0,1080,1920,2.5,1.9
HP,Spectre x360,13.3,8,Intel UHD Graphics 620,Windows 10,1499.0,2160,3840,1.6,1.29
Dell,Inspiron 5570,15.6,16,AMD Radeon 530,Linux,1049.0,1080,1920,1.8,2.02
Dell,XPS 13,13.3,8,Intel UHD Graphics 620,Windows 10,1399.0,1080,1920,1.6,1.23
Lenovo,Yoga 920-13IKB,13.9,16,Intel UHD Graphics 620,Windows 10,1849.0,2160,3840,1.8,1.4
Toshiba,Satellite Pro,15.6,8,Intel HD Graphics 620,Windows 10,793.0,768,1366,2.5,2.0
Xiaomi,Mi Notebook,15.6,8,Nvidia GeForce MX150,No OS,1199.0,1080,1920,1.6,1.95
Dell,Inspiron 7773,17.3,16,Nvidia GeForce 150MX,Windows 10,1549.0,1080,1920,1.8,2.77
Dell,XPS 15,15.6,16,Nvidia GeForce GTX 1050,Windows 10,2397.0,2160,3840,2.8,2.06
Lenovo,Legion Y520-15IKBN,15.6,8,Nvidia GeForce GTX 1050,No OS,779.0,1080,1920,2.5,2.4
Acer,Swift 7,13.3,8,Intel HD Graphics 615,Windows 10,989.0,1080,1920,1.2,1.12
Dell,Inspiron 5770,17.3,8,AMD Radeon 530,Windows 10,1085.0,1080,1920,1.8,2.8
Lenovo,Thinkpad Yoga,14.0,16,Intel HD Graphics 620,Windows 10,2824.0,1440,2560,2.7,1.42
Vero,K147 (N3350/4GB/32GB/FHD/W10),14.0,4,Intel HD Graphics 500,Windows 10,260.0,1080,1920,1.1,1.3
Xiaomi,Mi Notebook,13.3,8,Nvidia GeForce MX150,No OS,999.9,1080,1920,2.5,1.3
Lenovo,IdeaPad 320-17IKBR,17.3,8,Nvidia GeForce MX150,No OS,698.0,900,1600,1.6,2.8
Dell,Inspiron 5379,13.3,8,Intel UHD Graphics 620,Windows 10,839.0,1080,1920,1.8,1.62
HP,ProBook 470,17.3,8,Nvidia GeForce 930MX,Windows 10,914.0,1080,1920,1.6,2.5
Razer,Blade Pro,17.3,32,Nvidia GeForce GTX 1080,Windows 10,6099.0,2160,3840,2.9,3.49
HP,ProBook 430,13.3,8,Intel UHD Graphics 620,Windows 10,959.0,1080,1920,1.6,1.49
HP,Omen 17-W295,17.3,16,Nvidia GeForce GTX 1050,Windows 10,1379.0,1080,1920,2.8,3.35
HP,Probook 470,17.3,8,Nvidia GeForce 930MX ,Windows 10,1045.0,1080,1920,1.8,2.5
Dell,Inspiron 7577,15.6,16,Nvidia GeForce GTX 1060,Windows 10,1845.0,2160,3840,2.8,2.65
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),15.6,4,Intel HD Graphics 520,Windows 10,493.0,768,1366,2.3,2.1
Acer,Aspire E5-576G,15.6,8,Nvidia GeForce 940MX,Windows 10,742.0,1080,1920,2.7,2.23
Lenovo,Legion Y720-15IKB,15.6,16,Nvidia GeForce GTX 1060,Windows 10,1749.0,1080,1920,2.8,3.2
Dell,Precision 7520,15.6,16,Nvidia Quadro M1200,Windows 10,3055.0,2160,3840,3.0,2.8
Lenovo,Legion Y520-15IKBN,15.6,16,Nvidia GeForce GTX 1060,No OS,1398.0,1080,1920,2.8,2.4
Dell,Inspiron 3567,15.6,6,Intel HD Graphics 620,Windows 10,439.0,768,1366,2.4,2.3
Dell,XPS 13,13.3,8,Intel UHD Graphics 620,Windows 10,1949.0,2160,3840,1.8,1.21
Dell,XPS 13,13.3,8,Intel UHD Graphics 620,Windows 10,1449.0,1080,1920,1.8,1.2
Lenovo,IdeaPad 320-15IKBN,15.6,8,Intel HD Graphics 620,Windows 10,597.0,768,1366,2.5,2.2
Acer,Aspire 7,15.6,8,Nvidia GeForce GTX 1050,Linux,779.0,1080,1920,2.8,2.4
Asus,ROG GL703VD-GC028T,17.3,16,Nvidia GeForce GTX 1050,Windows 10,1407.0,1080,1920,2.8,2.9
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,15.6,4,Intel HD Graphics 520,No OS,349.0,1080,1920,2.0,2.1
Lenovo,IdeaPad 320-15IKBN,15.6,8,Intel HD Graphics 620,No OS,549.0,1080,1920,2.5,2.2
Huawei,MateBook X,13.0,8,Intel HD Graphics 620,Windows 10,1499.0,1440,2160,2.7,1.05
Dell,Inspiron 5370,13.3,8,AMD Radeon 530,Windows 10,931.88,1080,1920,1.8,1.4
Lenovo,IdeaPad 320-17IKB,17.3,8,Nvidia GeForce GTX 940MX,No OS,589.0,900,1600,2.5,2.8
HP,Probook 440,14.0,8,Nvidia GeForce 930MX,Windows 10,1031.0,1080,1920,1.8,1.63
Dell,Latitude 5490,14.0,8,Intel UHD Graphics 620,Windows 10,1149.0,1080,1920,1.6,1.6
Dell,Inspiron 5379,13.3,16,Intel UHD Graphics 620,Windows 10,1279.0,1080,1920,1.8,1.62
Dell,Inspiron 3576,15.6,8,AMD Radeon 520,Linux,677.35,1080,1920,1.6,2.2
Lenovo,Yoga 520-14IKB,14.0,8,Intel UHD Graphics 620,Windows 10,899.0,1080,1920,1.6,1.74
Toshiba,Portege Z30-C-16L,13.3,8,Intel HD Graphics 520,Windows 10,1363.0,1080,1920,2.5,1.2
HP,ProBook 450,15.6,8,Intel UHD Graphics 620,Windows 10,794.0,1080,1920,1.6,2.1
Dell,Alienware 17,17.3,16,Nvidia GeForce GTX 1060,Windows 10,2456.34,1080,1920,2.8,4.42
Acer,Aspire E5-576G,15.6,8,Nvidia GeForce 940MX,Windows 10,832.0,1080,1920,2.7,2.2
Dell,Inspiron 5567,15.6,16,AMD Radeon R7 M445,Windows 10,859.01,1080,1920,2.7,2.3
Asus,Vivobook X541UV-DM1217T,15.6,8,Nvidia GeForce 920MX ,Windows 10,769.0,1080,1920,2.5,2.0
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,17.3,8,Nvidia GeForce GTX 950M,Windows 10,891.0,1080,1920,2.5,2.69
HP,ZBook 15u,15.6,8,AMD FirePro W4190M ,Windows 10,1269.0,1080,1920,2.7,1.9
Asus,Pro P2540UA-XO0198T,15.6,4,Intel HD Graphics 620,Windows 10,398.99,768,1366,2.4,2.37
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),15.6,4,AMD Radeon R2,Windows 10,330.0,768,1366,1.5,2.1
Lenovo,Legion Y720-15IKB,15.6,16,Nvidia GeForce GTX 1060,Windows 10,1499.0,1080,1920,2.8,3.2
Dell,Vostro 5468,14.0,8,Intel HD Graphics 620,Windows 10,859.0,1080,1920,2.5,1.6
Acer,Aspire R7,13.3,8,Intel HD Graphics 520,Windows 10,689.0,1080,1920,2.3,1.6
Dell,Inspiron 5567,15.6,16,AMD Radeon R7 M445,Linux,899.0,1080,1920,2.7,2.36
